team,elo
Malawi,1466.6457098700353
Palau,1465.167998719027
Western Isles,1463.1019888543644
Vanuatu,1461.402359395342
Mauritania,1461.2858549139264
Găgăuzia,1459.306889594332
French Guiana,1458.5132944003965
Fiji,1457.6944104078534
Liberia,1457.1668911255124
Cuba,1455.4123729528935
Ticino,1454.4097582485776
Namibia,1452.7230653324204
Saint Barthélemy,1452.086328490572
Vatican City,1450.6957909281177
Tanzania,1450.3610725928802
Lesotho,1449.872890413312
Two Sicilies,1449.4455133029742
Marshall Islands,1448.8605740115613
Luxembourg,1446.9879153794132
Orkney,1442.9091048976552
Turkmenistan,1442.0658324334843
Faroe Islands,1441.992102912981
Armenia,1441.5715474078524
Raetia,1435.5470754982491
Ambazonia,1433.7543981974657
Burundi,1433.2710512073397
Botswana,1432.1304880112684
Ethiopia,1431.0859591608983
Azerbaijan,1429.3966915151414
Puerto Rico,1428.933593183957
Estonia,1424.7946701118567
Saint Vincent and the Grenadines,1421.7540719772194
Central African Republic,1420.5426994486909
Guinea-Bissau,1416.4434117247135
Solomon Islands,1415.4632493731497
Barawa,1414.8982526007453
Wallis Islands and Futuna,1414.4843741232564
Chagos Islands,1414.3627376036259
Hitra,1411.3958680698966
Philippines,1409.8244071730458
Saint Helena,1409.3068121667422
Hong Kong,1407.6500036056732
Saare County,1407.0257095875259
Saint Martin,1404.8577190240449
Congo,1397.7462597704184
Yemen,1397.6634325077346
Sark,1397.1318637940196
Sint Maarten,1396.5127395095024
Cyprus,1394.3521412812931
Micronesia,1392.628215817179
Bermuda,1391.2668103934882
Eswatini,1390.9701155965884
Singapore,1389.7576348192374
Lithuania,1388.1597170248622
Latvia,1385.70151666826
Grenada,1383.1489140337617
Belize,1382.8212549841116
Malta,1379.4419034881262
Saint Pierre and Miquelon,1377.7558253054895
Tibet,1375.0640357414716
Kiribati,1370.6643903636582
Saint Kitts and Nevis,1369.3249568356678
Moldova,1368.3965586489287
Darfur,1366.4826047645208
South Sudan,1364.7868052515917
India,1357.0981093748237
Montserrat,1351.411393767232
Afghanistan,1349.6483347479998
Chad,1347.7582257292902
Samoa,1347.2588922831985
Aruba,1341.9592036443948
Tuvalu,1339.7836057327336
Saint Lucia,1339.7444323267275
Falkland Islands,1335.983586977359
Mauritius,1328.7460505002962
Frøya,1320.563093192102
Eritrea,1319.8399573849633
Dominica,1314.513867391659
São Tomé and Príncipe,1311.435316789138
Bonaire,1298.723259974744
Cook Islands,1298.4847875666715
Bangladesh,1291.8916498013928
Myanmar,1290.0134371374234
Alderney,1288.9719048684624
Barbados,1288.0616515225606
Nepal,1279.0017509555164
Antigua and Barbuda,1275.383370330361
Andorra,1262.9410574064484
Tonga,1254.1849802217473
Djibouti,1253.527306866638
Taiwan,1250.311425225898
Cambodia,1249.3018903903326
Cayman Islands,1249.294582921527
Gibraltar,1246.6432106953764
Somalia,1245.6402241112246
Maldives,1244.448285213494
British Virgin Islands,1232.9951367056258
Pakistan,1230.5491907921655
Sri Lanka,1229.6773649181291
Guam,1219.0102750559142
Mongolia,1218.213895093117
Seychelles,1211.9802413792263
Turks and Caicos Islands,1207.0241123408919
Northern Mariana Islands,1201.4898321461228
United States Virgin Islands,1201.0569402002038
Laos,1186.6930970173228
Bahamas,1184.9678684486407
American Samoa,1180.7665430327652
Liechtenstein,1173.4846000223772
Brunei,1171.2587875025297
Timor-Leste,1168.8701851894423
Anguilla,1160.5476110529703
Bhutan,1147.7094675818505
Macau,1136.3218918168347
San Marino,1125.647458351025
